product,price,quantity,date,region
pink morsel,2.99,10,2020-12-01,north
pink morsel,2.99,15,2020-12-01,east
pink morsel,2.99,8,2020-12-01,south
pink morsel,2.99,12,2020-12-01,west
green morsel,1.99,20,2020-12-01,north
blue morsel,3.49,5,2020-12-01,east
pink morsel,2.99,9,2020-12-02,north
pink morsel,2.99,11,2020-12-02,east
pink morsel,2.99,14,2020-12-02,south
pink morsel,2.99,7,2020-12-02,west
green morsel,1.99,18,2020-12-02,north
pink morsel,2.99,13,2020-12-03,north
pink morsel,2.99,16,2020-12-03,east
pink morsel,2.99,10,2020-12-03,south
pink morsel,2.99,9,2020-12-03,west
blue morsel,3.49,7,2020-12-03,west
pink morsel,2.99,20,2020-12-15,north
pink morsel,2.99,18,2020-12-15,east
pink morsel,2.99,22,2020-12-15,south
pink morsel,2.99,15,2020-12-15,west
pink morsel,2.99,25,2020-12-20,north
pink morsel,2.99,22,2020-12-20,east
pink morsel,2.99,19,2020-12-20,south
pink morsel,2.99,17,2020-12-20,west
green morsel,1.99,30,2020-12-20,north
pink morsel,2.99,30,2020-12-25,north
pink morsel,2.99,28,2020-12-25,east
pink morsel,2.99,25,2020-12-25,south
pink morsel,2.99,22,2020-12-25,west
pink morsel,2.99,18,2021-01-01,north
pink morsel,2.99,16,2021-01-01,east
pink morsel,2.99,14,2021-01-01,south
pink morsel,2.99,12,2021-01-01,west
green morsel,1.99,22,2021-01-01,north
pink morsel,2.99,17,2021-01-05,north
pink morsel,2.99,15,2021-01-05,east
pink morsel,2.99,13,2021-01-05,south
pink morsel,2.99,11,2021-01-05,west
pink morsel,2.99,20,2021-01-10,north
pink morsel,2.99,18,2021-01-10,east
pink morsel,2.99,16,2021-01-10,south
pink morsel,2.99,14,2021-01-10,west
blue morsel,3.49,9,2021-01-10,north
pink morsel,2.99,22,2021-01-14,north
pink morsel,2.99,20,2021-01-14,east
pink morsel,2.99,18,2021-01-14,south
pink morsel,2.99,16,2021-01-14,west
